timestamp,message
1666232448230,"1666232448230831,rdscluster-instance-1-ap-southeast-2c,rdsadmin,localhost,8,18469,QUERY,,'SELECT SQL_NO_CACHE value FROM mysql.rds_heartbeat2',0"
1666232448320,"1666232448320476,rdscluster-instance-1-ap-southeast-2c,rdsadmin,localhost,4,18472,QUERY,,'select meta.NAME, gauge.VALUE from information_schema.RDS_METRICS_META as meta JOIN information_schema.RDS_METRICS_GAUGE as gauge on meta.ID = gauge.METRIC_ID where meta.NAME like \'Err%\'',0"
1666232449291,"1666232449291394,rdscluster-instance-1-ap-southeast-2c,rdsadmin,localhost,4,18481,QUERY,,'select * from performance_schema.rds_events_threads_waits_current where command <> \'Sleep\'',0"
1666232450033,"1666232450033869,rdscluster-instance-1-ap-southeast-2c,rdsadmin,localhost,7,18483,QUERY,,'SELECT durable_lsn, current_read_point, server_id, last_update_timestamp FROM information_schema.replica_host_status',0"
1666232451348,"1666232451348815,rdscluster-instance-1-ap-southeast-2c,rdsadmin,localhost,4,18494,QUERY,,'select * from performance_schema.rds_events_threads_waits_current where command <> \'Sleep\'',0"
1666232458412,"1666232458412500,rdscluster-instance-1-ap-southeast-2c,rdsadmin,localhost,8,18545,QUERY,,'SELECT SQL_NO_CACHE value FROM mysql.rds_heartbeat2',0"
1666232460109,"1666232460109975,rdscluster-instance-1-ap-southeast-2c,rdsadmin,localhost,7,18563,QUERY,,'SELECT durable_lsn, current_read_point, server_id, last_update_timestamp FROM information_schema.replica_host_status',0"
1666232460219,"1666232460219154,rdscluster-instance-1-ap-southeast-2c,rdsadmin,localhost,7,18566,QUERY,,'SELECT durable_lsn, current_read_point, server_id, last_update_timestamp FROM information_schema.replica_host_status',0"
1666232462235,"1666232462235893,rdscluster-instance-1-ap-southeast-2c,rdsadmin,localhost,8,18581,QUERY,,'SELECT SQL_NO_CACHE value FROM mysql.rds_heartbeat2',0"
1666232462346,"1666232462346857,rdscluster-instance-1-ap-southeast-2c,rdsadmin,localhost,4,18584,QUERY,,'select * from performance_schema.rds_events_threads_waits_current where command <> \'Sleep\'',0"
1666232463039,"1666232463039455,rdscluster-instance-1-ap-southeast-2c,rdsadmin,localhost,9,18585,QUERY,,'SELECT VARIABLE_NAME, VARIABLE_VALUE FROM INFORMATION_SCHEMA.GLOBAL_STATUS WHERE VARIABLE_NAME IN (\'QCACHE_HITS\', \'COM_SELECT\', \'INNODB_BUFFER_POOL_READS\', \'INNODB_BUFFER_POOL_READ_REQUESTS\')',0"
